Year,Month,Country,Value_NIS,Quantity_TON
2023,4,יוון,629013.0,148.0
2023,4,צרפת,2121091.0,270.0
2023,5,אחר,2663868.0,550.0
2023,5,איטליה,10266432.0,2024.0
2023,5,ארצות הברית,11024064.0,1211.0
2023,5,יוון,489430.0,106.0
2023,5,צרפת,858595.0,102.0
2023,6,אחר,3218829.0,573.0
2023,6,איטליה,7252931.0,1438.0
2023,6,ארצות הברית,7973399.0,855.0
2023,6,יוון,871937.0,192.0
2023,6,צרפת,157161.0,21.0
2023,7,אחר,3289304.0,552.0
2023,7,איטליה,3065447.0,558.0
2023,7,ארצות הברית,4694108.0,513.0
2023,7,יוון,766368.0,169.0
2023,8,אחר,2373868.0,416.0
2023,8,איטליה,2491140.0,425.0
2023,8,ארצות הברית,5269935.0,556.0
2023,8,יוון,88083.0,22.0
2023,9,אחר,961287.0,160.0
2023,9,איטליה,5604516.0,957.0
2023,9,ארצות הברית,3234851.0,327.0
2023,9,יוון,351622.0,79.0
2023,9,צרפת,395002.0,67.0
2023,10,אחר,5451518.0,951.0
2023,10,איטליה,9379284.0,1646.0
2023,10,ארצות הברית,1738637.0,172.0
2023,10,יוון,873684.0,183.0
2023,10,צרפת,171354.0,22.0
2023,11,אחר,2540474.0,485.0
2023,11,איטליה,14053434.0,2491.0
2023,11,ארצות הברית,138888.0,21.0
2023,11,יוון,814327.0,178.0
2023,11,צרפת,3958129.0,510.0
2023,12,אחר,1091357.0,228.0
2023,12,איטליה,13243363.0,2387.0
2023,12,ארצות הברית,813308.0,121.0
2023,12,יוון,108051.0,22.0
2023,12,צרפת,7580583.0,944.0
2024,1,אחר,1240727.0,286.0
2024,1,איטליה,18245612.0,3354.0
2024,1,ארצות הברית,5127700.0,601.0
2024,1,יוון,177265.0,36.0
2024,1,צרפת,5255795.0,671.0
2024,2,אחר,2244166.0,492.0
2024,2,איטליה,20678218.0,4189.0
2024,2,ארצות הברית,8368684.0,1034.0
2024,2,יוון,754617.0,142.0
2024,2,צרפת,5353076.0,664.0
2024,3,אחר,2377445.0,511.0
2024,3,איטליה,23384128.0,5052.0
2024,3,ארצות הברית,7082315.0,899.0
2024,3,יוון,1489671.0,279.0
2024,3,צרפת,5420753.0,698.0
2024,4,אחר,2827120.0,534.0
2024,4,איטליה,16522470.0,3357.0
2024,4,ארצות הברית,10301218.0,1193.0
2024,4,יוון,1116072.0,212.0
2024,4,צרפת,2972448.0,365.0
2024,5,אחר,1826526.0,315.0
2024,5,איטליה,9389828.0,1999.0
2024,5,ארצות הברית,11893915.0,1445.0
2024,5,יוון,897860.0,167.0
2024,5,צרפת,2460592.0,295.0
2024,6,אחר,1838794.0,346.0
2024,6,איטליה,14363124.0,3120.0
2024,6,ארצות הברית,7498581.0,897.0
2024,6,יוון,2856735.0,537.0
2024,6,צרפת,3240631.0,388.0
2024,7,אחר,4006469.0,618.0
2024,7,איטליה,12421837.0,2620.0
2024,7,ארצות הברית,12245613.0,1552.0
2024,7,יוון,3077990.0,564.0
2024,7,צרפת,509090.0,60.0
2024,8,אחר,2531530.0,405.0
2024,8,איטליה,8098154.0,1738.0
2024,8,ארצות הברית,6141315.0,780.0
2024,8,יוון,2439593.0,442.0
2024,9,אחר,3195968.0,527.0
2024,9,איטליה,9803765.0,1914.0
2024,9,ארצות הברית,5905580.0,715.0
2024,9,יוון,3083457.0,562.0
2024,9,צרפת,123784.0,22.0
2024,10,אחר,3377233.0,546.0
2024,10,איטליה,11515805.0,2218.0
2024,10,ארצות הברית,5549945.0,690.0
2024,10,יוון,1489911.0,310.0
2024,11,אחר,3263933.0,531.0
2024,11,איטליה,14207815.0,2860.0
2024,11,ארצות הברית,4556492.0,577.0
2024,11,יוון,781018.0,182.0
2024,11,צרפת,3465685.0,399.0
2024,12,אחר,1649294.0,298.0
2024,12,איטליה,21822750.0,4680.0
2024,12,ארצות הברית,2232202.0,295.0
2024,12,יוון,923026.0,217.0
2024,12,צרפת,3282817.0,411.0
2025,1,אחר,590302.0,116.0
2025,1,איטליה,16954023.0,3748.0
2025,1,ארצות הברית,6418671.0,746.0
2025,1,יוון,902905.0,206.0
